"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.268680880E-1,4.829015255E0,-5.851049423E0,1.910369754E0
6.292640250E-1,4.970191956E0,-5.606981754E0,1.917548299E0
6.316598580E-1,5.077868938E0,-5.398806095E0,1.931905150E0
6.340549110E-1,5.192724228E0,-5.214259624E0,1.934298038E0
6.364500150E-1,5.377270699E0,-5.041976452E0,1.888834357E0
6.388459000E-1,5.638088226E0,-4.896014214E0,1.917548299E0
6.412417860E-1,5.954239845E0,-4.778766155E0,1.951047778E0
6.436368380E-1,6.298806667E0,-4.675575256E0,2.023131609E0
6.460319420E-1,6.641279221E0,-4.570291042E0,2.135594130E0
6.484278270E-1,6.947560310E0,-4.496113777E0,2.307877541E0
6.508237130E-1,7.201498985E0,-4.469792843E0,2.492124796E0
6.532187650E-1,7.409674644E0,-4.476971149E0,2.671885490E0
6.556138690E-1,7.565207958E0,-4.476971149E0,2.901596546E0
6.580097540E-1,7.689933777E0,-4.445864677E0,3.162713289E0
6.604055880E-1,7.771289825E0,-4.407579422E0,3.435495138E0
6.628006920E-1,7.950751305E0,-4.340580463E0,3.646063566E0
6.651957960E-1,8.154440880E0,-4.455435753E0,3.701397419E0
6.675916810E-1,8.360222816E0,-4.656432629E0,3.600599766E0
6.699875150E-1,8.544470787E0,-4.946263313E0,3.385245800E0
6.723826190E-1,8.661719322E0,-5.228616714E0,3.049951553E0
6.747777230E-1,8.714659691E0,-5.549553871E0,2.719742060E0
6.771736080E-1,8.726624489E0,-5.858228207E0,2.315055847E0
6.795694420E-1,8.719446182E0,-6.179165363E0,1.886441588E0
6.819645460E-1,8.700303078E0,-6.468996048E0,1.486840129E0
6.843596500E-1,8.692825317E0,-6.748956203E0,1.110867858E0
6.867555360E-1,8.678468704E0,-6.983452797E0,8.476574421E-1
6.891513690E-1,8.726624489E0,-7.179963589E0,6.846463680E-1
6.915464210E-1,8.836693764E0,-7.349853992E0,6.535396576E-1
6.939415250E-1,9.075976372E0,-7.471887589E0,7.109674215E-1
6.963374630E-1,9.375378609E0,-7.541279793E0,8.401798606E-1
6.987332960E-1,9.748658180E0,-7.534101009E0,1.106082320E0
7.011283480E-1,1.018923664E1,-7.529315472E0,1.350150228E0
7.035234520E-1,1.066570759E1,-7.474280834E0,1.673480392E0
7.059193380E-1,1.106560802E1,-7.383353233E0,1.951047778E0
7.083152230E-1,1.137189007E1,-7.246962547E0,2.240878344E0
7.107102750E-1,1.157557869E1,-7.191927433E0,2.542673111E0
