"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.773773833E0,1.675166473E0,-9.477691040E0,1.890568542E0
3.783725833E0,1.566941528E0,-9.481882324E0,2.036065979E0
3.793677833E0,1.551822968E0,-9.445358276E0,2.179617462E0
3.803629833E0,1.613494720E0,-9.381890259E0,2.216590576E0
3.813581833E0,1.674418030E0,-9.350455627E0,2.168390808E0
3.823533833E0,1.717528381E0,-9.344019012E0,2.077529755E0
3.833485833E0,1.732347565E0,-9.362580414E0,2.011517029E0
3.843438833E0,1.701661377E0,-9.385033722E0,2.009870453E0
3.853390833E0,1.703307953E0,-9.429940338E0,2.012415161E0
3.863342833E0,1.709295502E0,-9.498647461E0,2.011067963E0
3.873294833E0,1.674418030E0,-9.518256683E0,2.056423645E0
3.883246833E0,1.647174683E0,-9.477092285E0,2.167043610E0
3.893198833E0,1.694476318E0,-9.385333099E0,2.273921356E0
3.903150833E0,1.786385193E0,-9.325607300E0,2.280956726E0
3.913102833E0,1.844464417E0,-9.298064575E0,2.197729797E0
3.923054833E0,1.908680878E0,-9.350455627E0,2.114053802E0
3.933007833E0,1.880689087E0,-9.420060883E0,2.072140961E0
3.942959833E0,1.825154572E0,-9.467212830E0,2.083966370E0
3.952911833E0,1.748214569E0,-9.431287537E0,2.121388550E0
3.962863833E0,1.744472351E0,-9.341025238E0,2.177671509E0
3.972815833E0,1.811233521E0,-9.273216248E0,2.213297424E0
3.982767833E0,1.879341888E0,-9.253307648E0,2.222278748E0
3.992719833E0,1.884281616E0,-9.288783875E0,2.177671509E0
4.002671833E0,1.877395935E0,-9.329648895E0,2.144141235E0
4.012623833E0,1.881437531E0,-9.382189636E0,2.090552673E0
4.022575833E0,1.865121460E0,-9.427695007E0,2.048639832E0
4.032528833E0,1.828597412E0,-9.478140106E0,2.003433838E0
4.042480833E0,1.764081573E0,-9.520202637E0,1.998643799E0
4.052432833E0,1.632205811E0,-9.501790924E0,2.101479950E0
4.062384833E0,1.595681763E0,-9.390123138E0,2.215542755E0
4.072336833E0,1.688339081E0,-9.280850372E0,2.255958710E0
